sls_ord_num,sls_order_dt,sls_ship_dt,sls_due_dt,customer_sk,product_sk,sls_sales,sls_quantity,sls_price,sls_sales_calc
SO51892,2013-01-28,2013-02-04,2013-02-09,1322849927233,138,2.0,1,2.0,2.0
SO51895,2013-01-28,2013-02-04,2013-02-09,335007449156,138,2.0,1,2.0,2.0
SO51896,2013-01-28,2013-02-04,2013-02-09,489626271768,138,2.0,1,2.0,2.0
SO51910,2013-01-28,2013-02-04,2013-02-09,1262720385035,138,2.0,1,2.0,2.0
SO51911,2013-01-28,2013-02-04,2013-02-09,249108103175,138,2.0,1,2.0,2.0
SO51933,2013-01-29,2013-02-05,2013-02-10,1,138,2.0,1,2.0,2.0
SO51948,2013-01-29,2013-02-05,2013-02-10,1477468749845,138,2.0,1,2.0,2.0
SO51956,2013-01-29,2013-02-05,2013-02-10,1073741824085,138,2.0,1,2.0,2.0
SO51959,2013-01-29,2013-02-05,2013-02-10,1597727834113,138,2.0,1,2.0,2.0
SO51969,2013-01-30,2013-02-06,2013-02-11,326417514512,138,2.0,1,2.0,2.0
SO51984,2013-01-30,2013-02-06,2013-02-11,609885356074,138,2.0,1,2.0,2.0
SO51986,2013-01-30,2013-02-06,2013-02-11,1202590842899,138,2.0,1,2.0,2.0
SO51997,2013-01-30,2013-02-06,2013-02-11,1125281431596,138,2.0,1,2.0,2.0
SO51998,2013-01-30,2013-02-06,2013-02-11,1357209665563,138,2.0,1,2.0,2.0
SO52017,2013-01-30,2013-02-06,2013-02-11,120259084295,138,2.0,1,2.0,2.0
SO52020,2013-01-31,2013-02-07,2013-02-12,523986010113,138,2.0,1,2.0,2.0
SO52022,2013-01-31,2013-02-07,2013-02-12,1434519076864,138,2.0,1,2.0,2.0
SO52031,2013-01-31,2013-02-07,2013-02-12,326417514542,138,2.0,1,2.0,2.0
SO52043,2013-01-31,2013-02-07,2013-02-12,1297080123413,138,2.0,1,2.0,2.0
SO52045,2013-01-31,2013-02-07,2013-02-12,1503238553623,138,2.0,1,2.0,2.0
SO52048,2013-01-31,2013-02-07,2013-02-12,343597383725,138,2.0,1,2.0,2.0
SO52068,2013-02-01,2013-02-08,2013-02-13,1503238553613,138,2.0,1,2.0,2.0
SO52081,2013-02-01,2013-02-08,2013-02-13,515396075585,138,2.0,1,2.0,2.0
SO52083,2013-02-01,2013-02-08,2013-02-13,541165879297,138,2.0,1,2.0,2.0
SO52094,2013-02-01,2013-02-08,2013-02-13,1597727834145,138,2.0,1,2.0,2.0
SO52104,2013-02-01,2013-02-08,2013-02-13,549755813889,138,2.0,1,2.0,2.0
SO52115,2013-02-02,2013-02-09,2013-02-14,103079215156,138,2.0,1,2.0,2.0
SO52118,2013-02-02,2013-02-09,2013-02-14,446676598858,138,2.0,1,2.0,2.0
SO52124,2013-02-02,2013-02-09,2013-02-14,420906795094,138,2.0,1,2.0,2.0
SO52128,2013-02-02,2013-02-09,2013-02-14,1537598292031,138,2.0,1,2.0,2.0
SO52139,2013-02-02,2013-02-09,2013-02-14,317827579958,138,2.0,1,2.0,2.0
SO52143,2013-02-02,2013-02-09,2013-02-14,816043786253,138,2.0,1,2.0,2.0
SO52164,2013-02-03,2013-02-10,2013-02-15,1340029796354,138,2.0,1,2.0,2.0
SO52171,2013-02-03,2013-02-10,2013-02-15,300647710745,138,2.0,1,2.0,2.0
SO52174,2013-02-03,2013-02-10,2013-02-15,283467841598,138,2.0,1,2.0,2.0
SO52197,2013-02-03,2013-02-10,2013-02-15,1151051235421,138,2.0,1,2.0,2.0
SO52200,2013-02-03,2013-02-10,2013-02-15,592705486863,138,2.0,1,2.0,2.0
SO52201,2013-02-03,2013-02-10,2013-02-15,1709396983853,138,2.0,1,2.0,2.0
SO52208,2013-02-03,2013-02-10,2013-02-15,103079215153,138,2.0,1,2.0,2.0
SO52209,2013-02-03,2013-02-10,2013-02-15,1322849927266,138,2.0,1,2.0,2.0
SO52210,2013-02-03,2013-02-10,2013-02-15,566935683111,138,2.0,1,2.0,2.0
SO52216,2013-02-04,2013-02-11,2013-02-16,721554505750,138,2.0,1,2.0,2.0
SO52226,2013-02-04,2013-02-11,2013-02-16,1254130450510,138,2.0,1,2.0,2.0
SO52228,2013-02-04,2013-02-11,2013-02-16,1675037245518,138,2.0,1,2.0,2.0
SO52233,2013-02-04,2013-02-11,2013-02-16,1391569403956,138,2.0,1,2.0,2.0
SO52234,2013-02-04,2013-02-11,2013-02-16,498216206390,138,2.0,1,2.0,2.0
SO52253,2013-02-04,2013-02-11,2013-02-16,953482739791,138,2.0,1,2.0,2.0
SO52254,2013-02-04,2013-02-11,2013-02-16,695784702042,138,2.0,1,2.0,2.0
SO52255,2013-02-04,2013-02-11,2013-02-16,197568495696,138,2.0,1,2.0,2.0
SO52256,2013-02-04,2013-02-11,2013-02-16,1486058684492,138,2.0,1,2.0,2.0
SO52261,2013-02-04,2013-02-11,2013-02-16,1348619730954,138,2.0,1,2.0,2.0
SO52266,2013-02-04,2013-02-11,2013-02-16,1056561954819,138,2.0,1,2.0,2.0
SO52273,2013-02-04,2013-02-11,2013-02-16,369367187517,138,2.0,1,2.0,2.0
SO52287,2013-02-05,2013-02-12,2013-02-17,901943132176,138,2.0,1,2.0,2.0
SO52291,2013-02-05,2013-02-12,2013-02-17,652835029085,138,2.0,1,2.0,2.0
SO52308,2013-02-05,2013-02-12,2013-02-17,283467841562,138,2.0,1,2.0,2.0
SO52314,2013-02-05,2013-02-12,2013-02-17,1073741824002,138,2.0,1,2.0,2.0
SO52320,2013-02-05,2013-02-12,2013-02-17,51539607556,138,2.0,1,2.0,2.0
SO52332,2013-02-06,2013-02-13,2013-02-18,833223655465,138,2.0,1,2.0,2.0
SO52334,2013-02-06,2013-02-13,2013-02-18,841813590111,138,2.0,1,2.0,2.0
SO52335,2013-02-06,2013-02-13,2013-02-18,592705486848,138,2.0,1,2.0,2.0
SO52338,2013-02-06,2013-02-13,2013-02-18,1005022347278,138,2.0,1,2.0,2.0
SO52340,2013-02-06,2013-02-13,2013-02-18,455266533449,138,2.0,1,2.0,2.0
SO52348,2013-02-06,2013-02-13,2013-02-18,1073741824083,138,2.0,1,2.0,2.0
SO52351,2013-02-06,2013-02-13,2013-02-18,1365799600173,138,2.0,1,2.0,2.0
SO52352,2013-02-06,2013-02-13,2013-02-18,1434519076876,138,2.0,1,2.0,2.0
SO52371,2013-02-07,2013-02-14,2013-02-19,283467841538,138,2.0,1,2.0,2.0
SO52377,2013-02-07,2013-02-14,2013-02-19,652835028995,138,2.0,1,2.0,2.0
SO52378,2013-02-07,2013-02-14,2013-02-19,1580547964942,138,2.0,1,2.0,2.0
SO52381,2013-02-07,2013-02-14,2013-02-19,901943132165,138,2.0,1,2.0,2.0
SO52382,2013-02-07,2013-02-14,2013-02-19,1314259992630,138,2.0,1,2.0,2.0
SO52387,2013-02-07,2013-02-14,2013-02-19,25769803792,138,2.0,1,2.0,2.0
SO52390,2013-02-07,2013-02-14,2013-02-19,489626271762,138,2.0,1,2.0,2.0
SO52394,2013-02-07,2013-02-14,2013-02-19,652835029032,138,2.0,1,2.0,2.0
SO52411,2013-02-08,2013-02-15,2013-02-20,231928234000,138,2.0,1,2.0,2.0
SO52413,2013-02-08,2013-02-15,2013-02-20,1125281431614,138,2.0,1,2.0,2.0
SO52422,2013-02-08,2013-02-15,2013-02-20,403726925826,138,2.0,1,2.0,2.0
SO52423,2013-02-08,2013-02-15,2013-02-20,1331439861851,138,2.0,1,2.0,2.0
SO52424,2013-02-08,2013-02-15,2013-02-20,1151051235406,138,2.0,1,2.0,2.0
SO52425,2013-02-08,2013-02-15,2013-02-20,1151051235393,138,2.0,1,2.0,2.0
SO52426,2013-02-08,2013-02-15,2013-02-20,1194000908344,138,2.0,1,2.0,2.0
SO52428,2013-02-08,2013-02-15,2013-02-20,1675037245477,138,2.0,1,2.0,2.0
SO52429,2013-02-08,2013-02-15,2013-02-20,171798691893,138,2.0,1,2.0,2.0
SO52436,2013-02-08,2013-02-15,2013-02-20,1022202216472,138,2.0,1,2.0,2.0
SO52437,2013-02-08,2013-02-15,2013-02-20,1331439861818,138,2.0,1,2.0,2.0
SO52445,2013-02-08,2013-02-15,2013-02-20,1614907703299,138,2.0,1,2.0,2.0
SO52446,2013-02-08,2013-02-15,2013-02-20,858993459203,138,2.0,1,2.0,2.0
SO52448,2013-02-08,2013-02-15,2013-02-20,1700807049223,138,2.0,1,2.0,2.0
SO52453,2013-02-08,2013-02-15,2013-02-20,1537598291972,138,2.0,1,2.0,2.0
SO52484,2013-02-09,2013-02-16,2013-02-21,1425929142275,138,2.0,1,2.0,2.0
SO52490,2013-02-09,2013-02-16,2013-02-21,1099511627832,138,2.0,1,2.0,2.0
SO52505,2013-02-09,2013-02-16,2013-02-21,1520418422824,138,2.0,1,2.0,2.0
SO52507,2013-02-09,2013-02-16,2013-02-21,721554505795,138,2.0,1,2.0,2.0
SO52512,2013-02-09,2013-02-16,2013-02-21,1408749273088,138,2.0,1,2.0,2.0
SO52515,2013-02-09,2013-02-16,2013-02-21,1520418422794,138,2.0,1,2.0,2.0
SO52519,2013-02-09,2013-02-16,2013-02-21,541165879338,138,2.0,1,2.0,2.0
SO52525,2013-02-10,2013-02-17,2013-02-22,1511828488204,138,2.0,1,2.0,2.0
SO52526,2013-02-10,2013-02-17,2013-02-22,94489280513,138,2.0,1,2.0,2.0
SO52527,2013-02-10,2013-02-17,2013-02-22,1443109011476,138,2.0,1,2.0,2.0
SO52532,2013-02-10,2013-02-17,2013-02-22,523986010117,138,2.0,1,2.0,2.0
SO52533,2013-02-10,2013-02-17,2013-02-22,1022202216475,138,2.0,1,2.0,2.0
SO52535,2013-02-10,2013-02-17,2013-02-22,919123001346,138,2.0,1,2.0,2.0
SO52545,2013-02-10,2013-02-17,2013-02-22,1194000908301,138,2.0,1,2.0,2.0
SO52547,2013-02-10,2013-02-17,2013-02-22,1168231104530,138,2.0,1,2.0,2.0
SO52580,2013-02-11,2013-02-18,2013-02-23,1666447310865,138,2.0,1,2.0,2.0
SO52591,2013-02-11,2013-02-18,2013-02-23,678604832804,138,2.0,1,2.0,2.0
SO52593,2013-02-11,2013-02-18,2013-02-23,1434519076893,138,2.0,1,2.0,2.0
SO52594,2013-02-11,2013-02-18,2013-02-23,249108103197,138,2.0,1,2.0,2.0
SO52602,2013-02-11,2013-02-18,2013-02-23,884763263089,138,2.0,1,2.0,2.0
SO52619,2013-02-12,2013-02-19,2013-02-24,1039382085655,138,2.0,1,2.0,2.0
SO52629,2013-02-12,2013-02-19,2013-02-24,472446402602,138,2.0,1,2.0,2.0
SO52630,2013-02-12,2013-02-19,2013-02-24,223338299439,138,2.0,1,2.0,2.0
SO52642,2013-02-12,2013-02-19,2013-02-24,326417514516,138,2.0,1,2.0,2.0
SO52643,2013-02-12,2013-02-19,2013-02-24,910533066755,138,2.0,1,2.0,2.0
SO52649,2013-02-12,2013-02-19,2013-02-24,377957122049,138,2.0,1,2.0,2.0
SO52650,2013-02-12,2013-02-19,2013-02-24,687194767361,138,2.0,1,2.0,2.0
SO52658,2013-02-12,2013-02-19,2013-02-24,292057776135,138,2.0,1,2.0,2.0
SO52672,2013-02-13,2013-02-20,2013-02-25,1400159338515,138,2.0,1,2.0,2.0
SO52674,2013-02-13,2013-02-20,2013-02-25,558345748497,138,2.0,1,2.0,2.0
SO52677,2013-02-13,2013-02-20,2013-02-25,1400159338518,138,2.0,1,2.0,2.0
SO52682,2013-02-13,2013-02-20,2013-02-25,51539607553,138,2.0,1,2.0,2.0
SO52684,2013-02-13,2013-02-20,2013-02-25,1477468749899,138,2.0,1,2.0,2.0
SO52686,2013-02-13,2013-02-20,2013-02-25,790273982538,138,2.0,1,2.0,2.0
SO52689,2013-02-13,2013-02-20,2013-02-25,1116691497023,138,2.0,1,2.0,2.0
SO52695,2013-02-13,2013-02-20,2013-02-25,1279900254277,138,2.0,1,2.0,2.0
SO52697,2013-02-13,2013-02-20,2013-02-25,1391569403951,138,2.0,1,2.0,2.0
SO52704,2013-02-13,2013-02-20,2013-02-25,1589137899546,138,2.0,1,2.0,2.0
SO52707,2013-02-13,2013-02-20,2013-02-25,1580547964937,138,2.0,1,2.0,2.0
SO52710,2013-02-13,2013-02-20,2013-02-25,755914244101,138,2.0,1,2.0,2.0
SO52715,2013-02-13,2013-02-20,2013-02-25,1211180777534,138,2.0,1,2.0,2.0
SO52739,2013-02-14,2013-02-21,2013-02-26,274877906990,138,2.0,1,2.0,2.0
SO52753,2013-02-14,2013-02-21,2013-02-26,515396075537,138,2.0,1,2.0,2.0
SO52755,2013-02-14,2013-02-21,2013-02-26,1005022347292,138,2.0,1,2.0,2.0
SO52761,2013-02-14,2013-02-21,2013-02-26,1236950581256,138,2.0,1,2.0,2.0
SO52779,2013-02-15,2013-02-22,2013-02-27,120259084310,138,2.0,1,2.0,2.0
SO52780,2013-02-15,2013-02-22,2013-02-27,730144440342,138,2.0,1,2.0,2.0
SO52782,2013-02-15,2013-02-22,2013-02-27,77,138,2.0,1,2.0,2.0
SO52786,2013-02-15,2013-02-22,2013-02-27,1700807049223,138,2.0,1,2.0,2.0
SO52788,2013-02-15,2013-02-22,2013-02-27,1236950581338,138,2.0,1,2.0,2.0
SO52791,2013-02-15,2013-02-22,2013-02-27,652835028995,138,2.0,1,2.0,2.0
SO52820,2013-02-15,2013-02-22,2013-02-27,1314259992642,138,2.0,1,2.0,2.0
SO52821,2013-02-15,2013-02-22,2013-02-27,601295421474,138,2.0,1,2.0,2.0
SO52823,2013-02-15,2013-02-22,2013-02-27,438086664195,138,2.0,1,2.0,2.0
SO52853,2013-02-16,2013-02-23,2013-02-28,1597727834179,138,2.0,1,2.0,2.0
SO52854,2013-02-16,2013-02-23,2013-02-28,1331439861835,138,2.0,1,2.0,2.0
SO52856,2013-02-16,2013-02-23,2013-02-28,1108101562381,138,2.0,1,2.0,2.0
SO52860,2013-02-16,2013-02-23,2013-02-28,584115552307,138,2.0,1,2.0,2.0
SO52861,2013-02-16,2013-02-23,2013-02-28,326417514563,138,2.0,1,2.0,2.0
SO52867,2013-02-16,2013-02-23,2013-02-28,515396075538,138,2.0,1,2.0,2.0
SO52869,2013-02-16,2013-02-23,2013-02-28,1176821039158,138,2.0,1,2.0,2.0
SO52870,2013-02-16,2013-02-23,2013-02-28,704374636570,138,2.0,1,2.0,2.0
SO52871,2013-02-16,2013-02-23,2013-02-28,25769803807,138,2.0,1,2.0,2.0
SO52872,2013-02-16,2013-02-23,2013-02-28,833223655445,138,2.0,1,2.0,2.0
SO52877,2013-02-16,2013-02-23,2013-02-28,17179869205,138,2.0,1,2.0,2.0
SO52897,2013-02-17,2013-02-24,2013-03-01,128849018950,138,2.0,1,2.0,2.0
SO52905,2013-02-17,2013-02-24,2013-03-01,249108103198,138,2.0,1,2.0,2.0
SO52911,2013-02-17,2013-02-24,2013-03-01,25769803831,138,2.0,1,2.0,2.0
SO52923,2013-02-17,2013-02-24,2013-03-01,670014898236,138,2.0,1,2.0,2.0
SO52932,2013-02-18,2013-02-25,2013-03-02,549755813912,138,2.0,1,2.0,2.0
SO52959,2013-02-18,2013-02-25,2013-03-02,1468878815234,138,2.0,1,2.0,2.0
SO52961,2013-02-18,2013-02-25,2013-03-02,1211180777524,138,2.0,1,2.0,2.0
SO52969,2013-02-19,2013-02-26,2013-03-03,1666447310852,138,2.0,1,2.0,2.0
SO52990,2013-02-19,2013-02-26,2013-03-03,42949673028,138,2.0,1,2.0,2.0
SO53008,2013-02-20,2013-02-27,2013-03-04,128849018900,138,2.0,1,2.0,2.0
SO53015,2013-02-20,2013-02-27,2013-03-04,1073741824032,138,2.0,1,2.0,2.0
SO53021,2013-02-20,2013-02-27,2013-03-04,42949673071,138,2.0,1,2.0,2.0
SO53028,2013-02-20,2013-02-27,2013-03-04,506806140989,138,2.0,1,2.0,2.0
SO53035,2013-02-20,2013-02-27,2013-03-04,884763263003,138,2.0,1,2.0,2.0
SO53036,2013-02-20,2013-02-27,2013-03-04,1417339207697,138,2.0,1,2.0,2.0
SO53037,2013-02-20,2013-02-27,2013-03-04,249108103217,138,2.0,1,2.0,2.0
SO53041,2013-02-20,2013-02-27,2013-03-04,1228360646657,138,2.0,1,2.0,2.0
SO53042,2013-02-20,2013-02-27,2013-03-04,1709396983809,138,2.0,1,2.0,2.0
SO53049,2013-02-20,2013-02-27,2013-03-04,523986010141,138,2.0,1,2.0,2.0
SO53058,2013-02-20,2013-02-27,2013-03-04,1090921693258,138,2.0,1,2.0,2.0
SO53071,2013-02-21,2013-02-28,2013-03-05,816043786273,138,2.0,1,2.0,2.0
SO53072,2013-02-21,2013-02-28,2013-03-05,1700807049255,138,2.0,1,2.0,2.0
SO53075,2013-02-21,2013-02-28,2013-03-05,197568495662,138,2.0,1,2.0,2.0
SO53078,2013-02-21,2013-02-28,2013-03-05,1503238553603,138,2.0,1,2.0,2.0
SO53079,2013-02-21,2013-02-28,2013-03-05,609885356059,138,2.0,1,2.0,2.0
SO53084,2013-02-21,2013-02-28,2013-03-05,816043786347,138,2.0,1,2.0,2.0
SO53088,2013-02-21,2013-02-28,2013-03-05,816043786241,138,2.0,1,2.0,2.0
SO53091,2013-02-21,2013-02-28,2013-03-05,1683627180111,138,2.0,1,2.0,2.0
SO53103,2013-02-21,2013-02-28,2013-03-05,455266533399,138,2.0,1,2.0,2.0
SO53115,2013-02-21,2013-02-28,2013-03-05,1254130450434,138,2.0,1,2.0,2.0
SO53116,2013-02-21,2013-02-28,2013-03-05,695784701956,138,2.0,1,2.0,2.0
SO53121,2013-02-21,2013-02-28,2013-03-05,369367187457,138,2.0,1,2.0,2.0
SO53134,2013-02-22,2013-03-01,2013-03-06,764504178689,138,2.0,1,2.0,2.0
SO53146,2013-02-22,2013-03-01,2013-03-06,103079215177,138,2.0,1,2.0,2.0
SO53159,2013-02-22,2013-03-01,2013-03-06,1709396983833,138,2.0,1,2.0,2.0
SO53163,2013-02-22,2013-03-01,2013-03-06,1692217114709,138,2.0,1,2.0,2.0
SO53168,2013-02-22,2013-03-01,2013-03-06,1649267441706,138,2.0,1,2.0,2.0
SO53169,2013-02-22,2013-03-01,2013-03-06,171798691840,138,2.0,1,2.0,2.0
SO53186,2013-02-23,2013-03-02,2013-03-07,627065225264,138,2.0,1,2.0,2.0
SO53198,2013-02-23,2013-03-02,2013-03-07,884763262979,138,2.0,1,2.0,2.0
SO53199,2013-02-23,2013-03-02,2013-03-07,1331439861854,138,2.0,1,2.0,2.0
SO53215,2013-02-23,2013-03-02,2013-03-07,257698037778,138,2.0,1,2.0,2.0
SO53223,2013-02-23,2013-03-02,2013-03-07,850403524685,138,2.0,1,2.0,2.0
SO53228,2013-02-23,2013-03-02,2013-03-07,1563368095745,138,2.0,1,2.0,2.0
SO53235,2013-02-23,2013-03-02,2013-03-07,128849018882,138,2.0,1,2.0,2.0
SO53244,2013-02-24,2013-03-03,2013-03-08,953482739742,138,2.0,1,2.0,2.0
SO53245,2013-02-24,2013-03-03,2013-03-08,274877907002,138,2.0,1,2.0,2.0
SO53248,2013-02-24,2013-03-03,2013-03-08,197568495652,138,2.0,1,2.0,2.0
SO53251,2013-02-24,2013-03-03,2013-03-08,790273982540,138,2.0,1,2.0,2.0
SO53253,2013-02-24,2013-03-03,2013-03-08,515396075596,138,2.0,1,2.0,2.0
SO53254,2013-02-24,2013-03-03,2013-03-08,386547056708,138,2.0,1,2.0,2.0
SO53275,2013-02-24,2013-03-03,2013-03-08,300647710724,138,2.0,1,2.0,2.0
SO53289,2013-02-25,2013-03-04,2013-03-09,833223655461,138,2.0,1,2.0,2.0
SO53293,2013-02-25,2013-03-04,2013-03-09,1640677507117,138,2.0,1,2.0,2.0
SO53304,2013-02-25,2013-03-04,2013-03-09,111669149770,138,2.0,1,2.0,2.0
SO53305,2013-02-25,2013-03-04,2013-03-09,1391569403940,138,2.0,1,2.0,2.0
SO53319,2013-02-25,2013-03-04,2013-03-09,1494648619015,138,2.0,1,2.0,2.0
SO53323,2013-02-25,2013-03-04,2013-03-09,670014898246,138,2.0,1,2.0,2.0
SO53326,2013-02-25,2013-03-04,2013-03-09,1142461300736,138,2.0,1,2.0,2.0
SO53334,2013-02-25,2013-03-04,2013-03-09,1460288880722,138,2.0,1,2.0,2.0
SO53352,2013-02-26,2013-03-05,2013-03-10,197568495650,138,2.0,1,2.0,2.0
SO53353,2013-02-26,2013-03-05,2013-03-10,790273982498,138,2.0,1,2.0,2.0
SO53356,2013-02-26,2013-03-05,2013-03-10,309237645324,138,2.0,1,2.0,2.0
SO53364,2013-02-26,2013-03-05,2013-03-10,979252543571,138,2.0,1,2.0,2.0
SO53384,2013-02-26,2013-03-05,2013-03-10,1374389534811,138,2.0,1,2.0,2.0
SO53394,2013-02-26,2013-03-05,2013-03-10,1408749273110,138,2.0,1,2.0,2.0
SO53403,2013-02-27,2013-03-06,2013-03-11,584115552271,138,2.0,1,2.0,2.0
SO53408,2013-02-27,2013-03-06,2013-03-11,721554505791,138,2.0,1,2.0,2.0
SO53411,2013-02-27,2013-03-06,2013-03-11,1005022347349,138,2.0,1,2.0,2.0
SO53422,2013-02-27,2013-03-06,2013-03-11,953482739741,138,2.0,1,2.0,2.0
SO53424,2013-02-27,2013-03-06,2013-03-11,764504178742,138,2.0,1,2.0,2.0
SO53427,2013-02-27,2013-03-06,2013-03-11,566935683106,138,2.0,1,2.0,2.0
SO53432,2013-02-27,2013-03-06,2013-03-11,94489280576,138,2.0,1,2.0,2.0
SO53438,2013-02-27,2013-03-06,2013-03-11,1219770712070,138,2.0,1,2.0,2.0
SO53629,2013-02-28,2013-03-07,2013-03-12,1082331758592,138,2.0,1,2.0,2.0
SO53631,2013-02-28,2013-03-07,2013-03-12,154618822660,138,2.0,1,2.0,2.0
SO53648,2013-02-28,2013-03-07,2013-03-12,395136991247,138,2.0,1,2.0,2.0
SO53667,2013-03-01,2013-03-08,2013-03-13,137438953472,138,2.0,1,2.0,2.0
SO53668,2013-03-01,2013-03-08,2013-03-13,1039382085690,138,2.0,1,2.0,2.0
SO53674,2013-03-01,2013-03-08,2013-03-13,300647710769,138,2.0,1,2.0,2.0
SO53675,2013-03-01,2013-03-08,2013-03-13,1563368095786,138,2.0,1,2.0,2.0
SO53681,2013-03-01,2013-03-08,2013-03-13,1090921693257,138,2.0,1,2.0,2.0
SO53688,2013-03-01,2013-03-08,2013-03-13,1443109011546,138,2.0,1,2.0,2.0
